Country,Indicator,Year,Inflation_Rate,ID
Hong Kong SAR,Annual average inflation (consumer prices) rate,1986,3.6,Hong Kong SAR_1986
Iran,Annual average inflation (consumer prices) rate,1986,23.7,Iran_1986
"Korea, Republic of",Annual average inflation (consumer prices) rate,1986,2.8,"Korea, Republic of_1986"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1986,35.0,Lao P.D.R._1986
Macao SAR,Annual average inflation (consumer prices) rate,1986,,Macao SAR_1986
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1986,,"Micronesia, Fed. States of_1986"
North Macedonia ,Annual average inflation (consumer prices) rate,1986,,North Macedonia _1986
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1986,0.0,Saint Kitts and Nevis_1986
Saint Lucia,Annual average inflation (consumer prices) rate,1986,2.2,Saint Lucia_1986
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1986,1.2,Saint Vincent and the Grenadines_1986
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1986,,"South Sudan, Republic of_1986"
Syria,Annual average inflation (consumer prices) rate,1986,36.2,Syria_1986
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1986,13.9,São Tomé and Príncipe_1986
Taiwan Province of China,Annual average inflation (consumer prices) rate,1986,0.7,Taiwan Province of China_1986
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1986,34.6,"Türkiye, Republic of_1986"
Venezuela,Annual average inflation (consumer prices) rate,1986,11.5,Venezuela_1986
Yemen,Annual average inflation (consumer prices) rate,1986,,Yemen_1986
"China, People's Republic of",Annual average inflation (consumer prices) rate,1987,7.3,"China, People's Republic of_1987"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1987,90.4,"Congo, Dem. Rep. of the_1987"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1987,3.5,"Congo, Republic of _1987"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1987,7.0,Côte d'Ivoire_1987
Egypt,Annual average inflation (consumer prices) rate,1987,25.2,Egypt_1987
Hong Kong SAR,Annual average inflation (consumer prices) rate,1987,5.7,Hong Kong SAR_1987
Iran,Annual average inflation (consumer prices) rate,1987,27.7,Iran_1987
"Korea, Republic of",Annual average inflation (consumer prices) rate,1987,3.0,"Korea, Republic of_1987"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1987,6.1,Lao P.D.R._1987
Macao SAR,Annual average inflation (consumer prices) rate,1987,,Macao SAR_1987
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1987,,"Micronesia, Fed. States of_1987"
North Macedonia ,Annual average inflation (consumer prices) rate,1987,,North Macedonia _1987
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1987,0.9,Saint Kitts and Nevis_1987
Saint Lucia,Annual average inflation (consumer prices) rate,1987,7.0,Saint Lucia_1987
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1987,2.9,Saint Vincent and the Grenadines_1987
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1987,,"South Sudan, Republic of_1987"
Syria,Annual average inflation (consumer prices) rate,1987,71.4,Syria_1987
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1987,25.0,São Tomé and Príncipe_1987
Taiwan Province of China,Annual average inflation (consumer prices) rate,1987,0.5,Taiwan Province of China_1987
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1987,38.9,"Türkiye, Republic of_1987"
Venezuela,Annual average inflation (consumer prices) rate,1987,28.1,Venezuela_1987
Yemen,Annual average inflation (consumer prices) rate,1987,,Yemen_1987
"China, People's Republic of",Annual average inflation (consumer prices) rate,1988,18.8,"China, People's Republic of_1988"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1988,82.7,"Congo, Dem. Rep. of the_1988"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1988,-13.0,"Congo, Republic of _1988"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1988,6.9,Côte d'Ivoire_1988
Egypt,Annual average inflation (consumer prices) rate,1988,15.2,Egypt_1988
Hong Kong SAR,Annual average inflation (consumer prices) rate,1988,7.8,Hong Kong SAR_1988
Iran,Annual average inflation (consumer prices) rate,1988,28.9,Iran_1988
"Korea, Republic of",Annual average inflation (consumer prices) rate,1988,7.1,"Korea, Republic of_1988"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1988,14.8,Lao P.D.R._1988
Macao SAR,Annual average inflation (consumer prices) rate,1988,,Macao SAR_1988
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1988,,"Micronesia, Fed. States of_1988"
North Macedonia ,Annual average inflation (consumer prices) rate,1988,,North Macedonia _1988
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1988,0.2,Saint Kitts and Nevis_1988
Saint Lucia,Annual average inflation (consumer prices) rate,1988,0.8,Saint Lucia_1988
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1988,0.3,Saint Vincent and the Grenadines_1988
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1988,,"South Sudan, Republic of_1988"
Syria,Annual average inflation (consumer prices) rate,1988,30.0,Syria_1988
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1988,44.3,São Tomé and Príncipe_1988
Taiwan Province of China,Annual average inflation (consumer prices) rate,1988,1.3,Taiwan Province of China_1988
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1988,73.7,"Türkiye, Republic of_1988"
Venezuela,Annual average inflation (consumer prices) rate,1988,29.5,Venezuela_1988
Yemen,Annual average inflation (consumer prices) rate,1988,,Yemen_1988
"China, People's Republic of",Annual average inflation (consumer prices) rate,1989,18.0,"China, People's Republic of_1989"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1989,104.1,"Congo, Dem. Rep. of the_1989"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1989,-9.6,"Congo, Republic of _1989"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1989,1.0,Côte d'Ivoire_1989
Egypt,Annual average inflation (consumer prices) rate,1989,20.1,Egypt_1989
Hong Kong SAR,Annual average inflation (consumer prices) rate,1989,10.2,Hong Kong SAR_1989
Iran,Annual average inflation (consumer prices) rate,1989,17.4,Iran_1989
"Korea, Republic of",Annual average inflation (consumer prices) rate,1989,5.7,"Korea, Republic of_1989"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1989,59.7,Lao P.D.R._1989
Macao SAR,Annual average inflation (consumer prices) rate,1989,,Macao SAR_1989
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1989,,"Micronesia, Fed. States of_1989"
